,UTC Gregorian,altitude (km),x-coordinate,y-coordinate,z-coordinate,x velocity,y velocity,z velocity
13,2024-03-19 00:26:23.054,513.3476530797034,-942.2499164418828,1241.152127148081,6692.175234157979,0.1890223391304235,7.484596051319965,-1.363856088887997
14,2024-03-19 00:28:24.552,511.788168208459,-910.8653939118444,2136.600312531845,6466.507309976775,0.3268379822554748,7.233323062173023,-2.345379551110133
15,2024-03-19 00:30:30.100,509.6534514598807,-861.1983127615309,3021.243962009812,6110.588359045574,0.4631156327861788,6.836570526221253,-3.315469251334543
16,2024-03-19 00:32:45.199,506.9220341049422,-789.2628654924173,3907.736003088563,5596.01539843183,0.5998481884192005,6.262444037788895,-4.288135078241072
17,2024-03-19 00:34:51.152,504.1539182472607,-706.2969964190654,4656.041162073094,5003.2153424628,0.7154440935551342,5.600478728001814,-5.109716994204809
18,2024-03-19 00:36:51.420,501.4920259207656,-614.2519181752336,5286.372615703749,4346.073051189499,0.812983318838718,4.86609802665142,-5.802215655972272
19,2024-03-19 00:38:54.483,498.9312150849282,-508.8125249762476,5834.303972357377,3593.803014253252,0.8979440577412626,4.024812871695579,-6.404549693450543
20,2024-03-19 00:40:53.099,496.7820298750066,-398.2187232705348,6259.99273462445,2805.220480413619,0.964121748206332,3.14237285861843,-6.872751538168514
21,2024-03-19 00:43:02.483,494.958913639286,-269.8140918677277,6600.880808387314,1890.155385371437,1.017329850586154,2.117864795977388,-7.247839571756653
22,2024-03-19 00:45:03.798,493.8647901132326,-144.3313423631156,6797.390688935192,996.4142100498316,1.048260637821865,1.116853058107862,-7.46410789627809
23,2024-03-19 00:47:06.251,493.4425124196569,-15.03453354266031,6871.13913782661,76.0259547484356,1.060272106393689,0.0857910508163936,-7.545232667072434
24,2024-03-19 00:49:11.984,493.7525678166039,117.9905636317237,6815.18530874111,-870.3184122384337,1.052292166041995,-0.9743723409871186,-7.483534522468632
25,2024-03-19 00:51:25.343,494.8782932234672,256.5241434313559,6611.314107986711,-1855.143395171256,1.021524726249387,-2.077465128153108,-7.258995483364554
26,2024-03-19 00:53:30.719,496.6026716314,381.7116696127926,6287.908330248777,-2744.359904264727,0.97226523124425,-3.073131010891775,-6.902981850958259
27,2024-03-19 00:55:32.165,498.7679901763595,495.9801927018984,5858.923606487508,-3555.266837514609,0.9066921734089496,-3.980682638844743,-6.430990820996305
28,2024-03-19 00:57:36.315,501.3305309451462,603.5055260438869,5310.930642247729,-4317.468064355618,0.8227768886867085,-4.833221040411158,-5.828424886377883
29,2024-03-19 00:59:34.815,503.9420349031898,695.5346832205149,4694.155517149673,-4968.914081318339,0.7282352108909339,-5.561397531396045,-5.150667427468831
30,2024-03-19 01:01:46.274,506.8255742354177,783.5766778783099,3916.014589274301,-5590.939485139034,0.6088847839467053,-6.25618790487505,-4.296172493089138
31,2024-03-19 01:03:50.003,509.3361171032448,851.345173952451,3107.706852095509,-6068.366938295361,0.4848509784045866,-6.789056437567762,-3.409140727211565
32,2024-03-19 01:05:53.163,511.4715532965411,902.986357888876,2245.358031146327,-6430.549308506757,0.3524723920534578,-7.192983239767465,-2.46335756549294
33,2024-03-19 01:07:58.943,513.1391646702768,938.4572249348284,1321.852364885684,-6677.116684085991,0.2106438637233004,-7.467721558576948,-1.451000641702138
34,2024-03-19 01:10:11.282,514.2238663877542,956.2082516153756,322.9861329491686,-6796.92303743204,0.057154492767652,-7.600974477450436,-0.3564374991336979
35,2024-03-19 01:12:16.977,514.5627393668938,954.1546804018642,-632.4638498684284,-6775.902581893523,-0.0897737697415768,-7.577187524847177,0.6903383033140637
