,UTC Gregorian,altitude (km)_x,x-coordinate,y-coordinate,z-coordinate,x velocity,y velocity,z velocity,radial (km),radial (m),altitude (km)_y,latitude (deg),longitude (deg),elevation (deg)
280,2024-03-19 09:47:10.523,513.9612271490978,-81.41770755046512,-1285.563056412205,371.8669520337481,-7.580074707419933,1.232534066319165,0.1482357707977826,1340.7409313993264,1340740.9313993265,513.9612271490978,73.79113352186216,-82.78286017665602,81.17227204453869
281,2024-03-19 09:49:13.910,514.3347873056828,-1011.602045501798,-1113.854732196468,327.5851432614254,-7.473260928376126,1.546786800687938,-0.8647100670174904,1539.9100912019169,1539910.0912019168,514.3347873056828,79.75001965888708,-105.8841730797862,81.17858272430277
282,2024-03-19 09:51:15.861,514.0690596744716,-1909.342718415389,-907.6265832518696,161.8437446037202,-7.226661197588996,1.830197274876788,-1.849193153511243,2120.275696379762,2120275.696379762,514.0690596744716,81.78478763449587,-154.249118782551,81.17409461581522
325,2024-03-19 11:21:42.087,513.9582919857412,-695.7434979662629,-1757.716114534621,229.4326327013461,-6.498788541495159,4.074524883015121,0.4031079265076558,1904.2752656077027,1904275.2656077028,513.9582919857412,73.74632264659617,-106.3104668595602,81.1722224243505
326,2024-03-19 11:23:43.145,514.3393119288521,-1469.570634911656,-1243.614146035171,219.8542152942733,-6.265721376729917,4.406340554530211,-0.5609204522685315,1937.6660886737159,1937666.088673716,514.3393119288521,79.62766471450848,-128.6203128531361,81.1786591054473
327,2024-03-19 11:25:44.232,514.0986702811397,-2208.232729397849,-693.9560112370203,94.0248421096344,-5.915948191589591,4.65853488650249,-1.514186474274178,2316.615506217985,2316615.506217985,514.0986702811397,81.82416630334686,-176.1014307552574,81.17459495977536
370,2024-03-19 12:56:28.986,513.9510581665718,-1511.512590526778,-1843.60473921454,68.8215794097892,-4.35804950096948,6.277461441277969,0.7740046834726271,2385.012611196792,2385012.611196792,513.9510581665718,74.5293011075954,-131.7134905913082,81.17210013119005
371,2024-03-19 12:58:30.651,514.2693825384622,-2019.837344295004,-1061.230521430117,105.8592514694088,-3.984727667065878,6.563920903398283,-0.1659011021167627,2284.110176446223,2284110.1764462227,514.2693825384622,80.19343588141241,-156.6740306307841,81.177478465646
372,2024-03-19 13:00:34.293,513.9477462087434,-2485.029226962591,-238.0308803991936,26.41072443609698,-3.52793949360134,6.730618038205129,-1.117164908251349,2496.5429067506825,2496542.9067506823,513.9477462087434,81.60086994820311,152.6343940348329,81.17204413892709
416,2024-03-19 14:32:49.894,514.1902586876404,-2377.903092838495,-867.718718025813,13.05988069854413,-1.152681112908083,7.570226252446466,0.5958363473245936,2531.3098295204995,2531309.8295204993,514.1902586876404,79.70251624328263,-176.3991133220682,81.17614221475792
688,2024-03-20 00:04:11.037,513.038870005752,-89.36908220394534,-144.6742076311929,489.9394186610685,5.161919762171634,-5.688806047559438,-0.0625602753893066,518.6116978681013,518611.69786810124,513.038870005752,77.7670084446577,-46.66936774728729,81.15665191928493
733,2024-03-20 01:38:36.820,513.1217444258837,-281.6309810044783,-668.8428353829058,453.9088234289746,2.534062450829085,-7.226147446048974,-0.6093785236802177,855.978952948766,855978.9529487661,513.1217444258837,78.0751103186716,-68.92521891946697,81.158057640132
734,2024-03-20 01:40:38.177,511.6188011421973,19.98988299243958,-1539.56941129812,316.8781343654081,2.429649102107773,-7.101204572556346,-1.64551436398503,1571.9686128119076,1571968.6128119077,511.6188011421973,71.7194840218514,-86.26787593724873,81.13249554558985
777,2024-03-20 03:11:18.453,513.8291042181863,-594.721363614217,-275.446433819913,461.6749023030941,-0.4434496766198944,-7.660125192491248,-0.3503438483617715,801.6906845285362,801690.6845285362,513.8291042181863,81.70575765611848,-57.03401160932325,81.17003790170638
778,2024-03-20 03:13:19.803,512.8633749515002,-651.0145359628605,-1199.121960944556,355.833066712977,-0.4825950565060509,-7.539585225540942,-1.391410726628937,1410.0817616793777,1410081.7616793776,512.8633749515002,77.57285987706189,-94.7286132384298,81.15367369755896
779,2024-03-20 03:15:33.033,511.1296949372781,-717.4328126819181,-2185.936006293717,95.83297823953976,-0.5117356415692819,-7.246561843414212,-2.504450885779535,2302.6528231677207,2302652.823167721,511.1296949372781,70.43590015394007,-111.8972281975827,81.12414516545776
822,2024-03-20 04:45:52.167,513.6722976166584,-785.4201429314829,-646.5315961346948,417.3910358485292,-3.394264698603395,-6.811571344167003,-1.039606685060375,1099.59228013373,1099592.2801337298,513.6722976166584,81.68382282364749,-81.28843570674054,81.16738491217659
823,2024-03-20 04:48:03.161,512.5905816323575,-1228.50679078014,-1524.44121388767,208.4663907966054,-3.358213132730691,-6.568269484525709,-2.144563991096955,1968.9104057026045,1968910.4057026044,512.5905816323575,77.03378002687124,-120.4432620160184,81.14904033223756
866,2024-03-20 06:18:21.064,513.920063176256,-386.6485538343403,-290.634238949651,475.9665481627019,-5.791383656139548,-5.016739395473579,-0.5365553026485537,678.6085174840846,678608.5174840846,513.920063176256,80.00196412676284,-55.01408248765713,81.17157609947814
867,2024-03-20 06:20:24.941,513.55110636893,-1103.619061789973,-900.9209882788178,344.1278244722049,-5.765535776348427,-4.820393253312609,-1.588575314358493,1465.6253341981487,1465625.3341981487,513.55110636893,81.67442461944346,-105.1675528905625,81.16533341019871
868,2024-03-20 06:22:32.355,512.492073869571,-1830.362313338353,-1497.090599285055,74.36066015887451,-5.622302827389144,-4.521839776131238,-2.638772390396586,2365.8055643556754,2365805.5643556756,512.492073869571,77.1792219657145,-143.5221135196977,81.14736600493808
911,2024-03-20 07:52:50.523,513.8429531511274,-575.716463698315,-726.7264411390491,430.3745465503583,-7.281250423945211,-2.290958011291435,-0.8553713533242631,1022.1560630071847,1022156.0630071847,513.8429531511274,79.90213489625202,-77.84132863474909,81.1702721339324
912,2024-03-20 07:54:54.130,513.4797390294452,-1469.980930290038,-994.1189655674244,260.7840300163134,-7.164992048383565,-2.028467484167817,-1.884256223539637,1793.6345122205807,1793634.5122205808,513.4797390294452,81.71613424384603,-127.5214048954171,81.1641248753374
955,2024-03-20 09:25:32.029,513.7085791337695,-94.35448624370416,-1130.63225198389,398.9508208850614,-7.661261460370115,0.5530597563062641,-0.0098377932526183,1202.6611392180841,1202661.139218084,513.7085791337695,74.69303770916648,-79.29015835982801,81.16799889484531
956,2024-03-20 09:27:35.277,513.9281961363959,-1034.090184131446,-1043.922460773535,334.9370366465938,-7.56396251142718,0.8522550344496597,-1.027174395085632,1507.083087139552,1507083.087139552,513.9281961363959,80.35430480897021,-105.3240171635314,81.17171360925335
957,2024-03-20 09:29:37.788,513.5077560019181,-1947.494759437231,-921.99351158555,148.0642039948704,-7.323786574108731,1.135164244420819,-2.018718425204621,2159.7988058951155,2159798.8058951157,513.5077560019181,81.53631134478267,-156.0135141001775,81.16459935398788
1000,2024-03-20 11:00:21.532,513.8268243494695,-771.3028266991585,-1548.705004771878,272.7917195089722,-6.811116935670341,3.550395002524888,0.0404532789475025,1751.5166469412263,1751516.6469412264,513.8268243494695,75.60660082318671,-105.3368679726152,81.16999934024504
1001,2024-03-20 11:02:24.745,513.9621257675144,-1596.87013199298,-1090.979542052886,216.8972890238606,-6.567951824440479,3.867931180452284,-0.9461525366526174,1946.0922418053833,1946092.2418053832,513.9621257675144,80.89937944986534,-134.831137538276,81.17228723595557
1002,2024-03-20 11:04:25.897,513.4634117029518,-2371.848493196062,-607.0111211690187,44.32075291628507,-6.205844643210398,4.109243649029723,-1.898422585208345,2448.6919171342,2448691.9171342,513.4634117029518,81.19284805679341,173.9968399092857,81.16384834220682
